"filename", "language", "Markdown", "TOML", "Makefile", "JSON", "Shell Script", "Rust", "Python", "comment", "blank", "total"
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/src/strategy.rs", "Rust", 0, 0, 0, 0, 0, 70, 0, 25, 27, 122
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-replx/src/wrapper.rs", "Rust", 0, 0, 0, 0, 0, 90, 0, 13, 19, 122
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/Cargo.toml", "TOML", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/agent.rs", "Rust", 0, 0, 0, 0, 0, 449, 0, 137, 114, 700
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/arithmetic.rs", "Rust", 0, 0, 0, 0, 0, 429, 0, 65, 67, 561
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/atom.rs", "Rust", 0, 0, 0, 0, 0, 183, 0, 40, 46, 269
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/channel.rs", "Rust", 0, 0, 0, 0, 0, 324, 0, 104, 98, 526
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/collections.rs", "Rust", 0, 0, 0, 0, 0, 706, 0, 75, 152, 933
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/debug.rs", "Rust", 0, 0, 0, 0, 0, 298, 0, 20, 45, 363
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/function.rs", "Rust", 0, 0, 0, 0, 0, 239, 0, 68, 42, 349
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/go_block.rs", "Rust", 0, 0, 0, 0, 0, 93, 0, 41, 25, 159
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/io.rs", "Rust", 0, 0, 0, 0, 0, 153, 0, 28, 22, 203
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/keyword.rs", "Rust", 0, 0, 0, 0, 0, 91, 0, 18, 22, 131
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 28, 0, 5, 3, 36
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/list.rs", "Rust", 0, 0, 0, 0, 0, 251, 0, 64, 59, 374
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/map.rs", "Rust", 0, 0, 0, 0, 0, 153, 0, 29, 31, 213
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/protocols.rs", "Rust", 0, 0, 0, 0, 0, 113, 0, 12, 17, 142
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/ref_type.rs", "Rust", 0, 0, 0, 0, 0, 186, 0, 107, 55, 348
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/set.rs", "Rust", 0, 0, 0, 0, 0, 208, 0, 35, 43, 286
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/string.rs", "Rust", 0, 0, 0, 0, 0, 584, 0, 182, 115, 881
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/thread_pool.rs", "Rust", 0, 0, 0, 0, 0, 101, 0, 12, 24, 137
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/transaction.rs", "Rust", 0, 0, 0, 0, 0, 248, 0, 105, 68, 421
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/transducer.rs", "Rust", 0, 0, 0, 0, 0, 50, 0, 25, 20, 95
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/value.rs", "Rust", 0, 0, 0, 0, 0, 844, 0, 172, 117, 1133
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/var.rs", "Rust", 0, 0, 0, 0, 0, 133, 0, 44, 26, 203
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-runtime/src/vector.rs", "Rust", 0, 0, 0, 0, 0, 507, 0, 122, 115, 744
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-std/Cargo.toml", "TOML", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-std/src/fs.rs", "Rust", 0, 0, 0, 0, 0, 277, 0, 56, 60, 393
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-std/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 2, 0, 4, 3, 9
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/Cargo.toml", "TOML", 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/examples/test_errors.rs", "Rust", 0, 0, 0, 0, 0, 15, 0, 2, 3, 20
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/examples/test_use.rs", "Rust", 0, 0, 0, 0, 0, 28, 0, 3, 5, 36
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/src/ast.rs", "Rust", 0, 0, 0, 0, 0, 218, 0, 124, 57, 399
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/src/lexer.rs", "Rust", 0, 0, 0, 0, 0, 447, 0, 26, 62, 535
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 24, 0, 12, 7, 43
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/src/macros.rs", "Rust", 0, 0, 0, 0, 0, 1808, 0, 328, 419, 2555
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-syntax/src/parser.rs", "Rust", 0, 0, 0, 0, 0, 2217, 0, 341, 543, 3101
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-types/Cargo.toml", "TOML", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-types/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 336, 0, 99, 66, 501
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus-types/src/mapper.rs", "Rust", 0, 0, 0, 0, 0, 244, 0, 55, 36, 335
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus/Cargo.toml", "TOML", 0, 12, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 17, 0, 14, 8, 39
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus/src/module_loader.rs", "Rust", 0, 0, 0, 0, 0, 142, 0, 40, 42, 224
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus/src/namespace.rs", "Rust", 0, 0, 0, 0, 0, 231, 0, 47, 55, 333
"/Users/prabhugopal/Workspace/github/clorus/crates/clorus/tests/value_star_test.rs", "Rust", 0, 0, 0, 0, 0, 94, 0, 9, 27, 130
"/Users/prabhugopal/Workspace/github/clorus/crates/example-rust-lib/Cargo.toml", "TOML", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/prabhugopal/Workspace/github/clorus/crates/example-rust-lib/src/ffi.rs", "Rust", 0, 0, 0, 0, 0, 41, 0, 2, 9, 52
"/Users/prabhugopal/Workspace/github/clorus/crates/example-rust-lib/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 42, 0, 10, 13, 65
"/Users/prabhugopal/Workspace/github/clorus/docs/ARCHITECTURE_ANALYSIS.md", "Markdown", 157, 0, 0, 0, 0, 0, 0, 0, 45, 202
"/Users/prabhugopal/Workspace/github/clorus/docs/CLEANUP_PLAN.md", "Markdown", 360, 0, 0, 0, 0, 0, 0, 0, 89, 449
"/Users/prabhugopal/Workspace/github/clorus/docs/CODEBASE_CLEANUP_COMPLETE.md", "Markdown", 236, 0, 0, 0, 0, 0, 0, 0, 62, 298
"/Users/prabhugopal/Workspace/github/clorus/docs/COLLECTION_ACCESS_COMPLETE.md", "Markdown", 415, 0, 0, 0, 0, 0, 0, 0, 137, 552
"/Users/prabhugopal/Workspace/github/clorus/docs/DEPENDENCY_ORDERED_ROADMAP.md", "Markdown", 444, 0, 0, 0, 0, 0, 0, 0, 163, 607
"/Users/prabhugopal/Workspace/github/clorus/docs/DESTRUCTURING_ENHANCEMENTS_COMPLETE.md", "Markdown", 188, 0, 0, 0, 0, 0, 0, 0, 58, 246
"/Users/prabhugopal/Workspace/github/clorus/docs/DOCUMENTATION_INDEX.md", "Markdown", 215, 0, 0, 0, 0, 0, 0, 0, 70, 285
"/Users/prabhugopal/Workspace/github/clorus/docs/FFI_ROADMAP.md", "Markdown", 306, 0, 0, 0, 0, 0, 0, 0, 79, 385
"/Users/prabhugopal/Workspace/github/clorus/docs/FN_IMPLEMENTATION.md", "Markdown", 234, 0, 0, 0, 0, 0, 0, 0, 80, 314
"/Users/prabhugopal/Workspace/github/clorus/docs/GUI_MAIN_THREAD_LIMITATION.md", "Markdown", 195, 0, 0, 0, 0, 0, 0, 0, 80, 275
"/Users/prabhugopal/Workspace/github/clorus/docs/GUI_REPL_LIMITATION.md", "Markdown", 140, 0, 0, 0, 0, 0, 0, 0, 54, 194
"/Users/prabhugopal/Workspace/github/clorus/docs/GUI_REPL_USAGE.md", "Markdown", 245, 0, 0, 0, 0, 0, 0, 0, 86, 331
"/Users/prabhugopal/Workspace/github/clorus/docs/HARDCODED_VALUES_ANALYSIS.md", "Markdown", 423, 0, 0, 0, 0, 0, 0, 0, 117, 540
"/Users/prabhugopal/Workspace/github/clorus/docs/HASHSET_IMPLEMENTATION_COMPLETE.md", "Markdown", 526, 0, 0, 0, 0, 0, 0, 0, 165, 691
"/Users/prabhugopal/Workspace/github/clorus/docs/HOF_IMPLEMENTATION_COMPLETE.md", "Markdown", 399, 0, 0, 0, 0, 0, 0, 0, 157, 556
"/Users/prabhugopal/Workspace/github/clorus/docs/HOT_RELOAD_DESIGN.md", "Markdown", 547, 0, 0, 0, 0, 0, 0, 0, 191, 738
"/Users/prabhugopal/Workspace/github/clorus/docs/INTERFACE_ORGANIZATION.md", "Markdown", 251, 0, 0, 0, 0, 0, 0, 0, 76, 327
"/Users/prabhugopal/Workspace/github/clorus/docs/LANGUAGE_PARITY.md", "Markdown", 671, 0, 0, 0, 0, 0, 0, 0, 160, 831
"/Users/prabhugopal/Workspace/github/clorus/docs/LAZY_SEQUENCES_COMPLETE.md", "Markdown", 296, 0, 0, 0, 0, 0, 0, 0, 121, 417
"/Users/prabhugopal/Workspace/github/clorus/docs/LAZY_SEQUENCES_GUIDE.md", "Markdown", 387, 0, 0, 0, 0, 0, 0, 0, 157, 544
"/Users/prabhugopal/Workspace/github/clorus/docs/LONG_DOUBLE_COMPATIBILITY.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 30, 125
"/Users/prabhugopal/Workspace/github/clorus/docs/MACROEXPAND_COMPLETE.md", "Markdown", 211, 0, 0, 0, 0, 0, 0, 0, 66, 277
"/Users/prabhugopal/Workspace/github/clorus/docs/NAMESPACE_CONVENTIONS.md", "Markdown", 321, 0, 0, 0, 0, 0, 0, 0, 92, 413
"/Users/prabhugopal/Workspace/github/clorus/docs/NAMESPACE_VALIDATION_COMPLETE.md", "Markdown", 122, 0, 0, 0, 0, 0, 0, 0, 52, 174
"/Users/prabhugopal/Workspace/github/clorus/docs/NAMESPACE_VALIDATION_GAP.md", "Markdown", 260, 0, 0, 0, 0, 0, 0, 0, 73, 333
"/Users/prabhugopal/Workspace/github/clorus/docs/NUMBER_TYPES.md", "Markdown", 561, 0, 0, 0, 0, 0, 0, 0, 180, 741
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE2A_COMPLETE.md", "Markdown", 212, 0, 0, 0, 0, 0, 0, 0, 74, 286
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE2A_INTERFACE_FILES.md", "Markdown", 249, 0, 0, 0, 0, 0, 0, 0, 87, 336
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE2B_COMPLETE.md", "Markdown", 286, 0, 0, 0, 0, 0, 0, 0, 80, 366
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE2_VALUE_SYSTEM.md", "Markdown", 524, 0, 0, 0, 0, 0, 0, 0, 136, 660
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE_B_COMPLETE.md", "Markdown", 300, 0, 0, 0, 0, 0, 0, 0, 91, 391
"/Users/prabhugopal/Workspace/github/clorus/docs/PHASE_C_COMPLETE.md", "Markdown", 356, 0, 0, 0, 0, 0, 0, 0, 110, 466
"/Users/prabhugopal/Workspace/github/clorus/docs/PROGRESS.md", "Markdown", 255, 0, 0, 0, 0, 0, 0, 0, 93, 348
"/Users/prabhugopal/Workspace/github/clorus/docs/PROJECT_ORGANIZATION.md", "Markdown", 343, 0, 0, 0, 0, 0, 0, 0, 98, 441
"/Users/prabhugopal/Workspace/github/clorus/docs/QUOTE_IMPLEMENTATION_COMPLETE.md", "Markdown", 431, 0, 0, 0, 0, 0, 0, 0, 141, 572
"/Users/prabhugopal/Workspace/github/clorus/docs/README.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/prabhugopal/Workspace/github/clorus/docs/REPL_AND_CLEANUP_COMPLETE.md", "Markdown", 168, 0, 0, 0, 0, 0, 0, 0, 61, 229
"/Users/prabhugopal/Workspace/github/clorus/docs/REPL_INTEGRATION_COMPLETE.md", "Markdown", 277, 0, 0, 0, 0, 0, 0, 0, 87, 364
"/Users/prabhugopal/Workspace/github/clorus/docs/REPL_INTEGRATION_REFACTORING_PLAN.md", "Markdown", 309, 0, 0, 0, 0, 0, 0, 0, 91, 400
"/Users/prabhugopal/Workspace/github/clorus/docs/REPL_INTEGRATION_TEST_PLAN.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 48, 217
"/Users/prabhugopal/Workspace/github/clorus/docs/REPL_STATUS.md", "Markdown", 131, 0, 0, 0, 0, 0, 0, 0, 41, 172
"/Users/prabhugopal/Workspace/github/clorus/docs/ROADMAP_TO_100_PARITY.md", "Markdown", 935, 0, 0, 0, 0, 0, 0, 0, 320, 1255
"/Users/prabhugopal/Workspace/github/clorus/docs/SHORTHAND_FN_COMPLETE.md", "Markdown", 332, 0, 0, 0, 0, 0, 0, 0, 129, 461
"/Users/prabhugopal/Workspace/github/clorus/docs/STDLIB_ARCHITECTURE.md", "Markdown", 527, 0, 0, 0, 0, 0, 0, 0, 143, 670
"/Users/prabhugopal/Workspace/github/clorus/docs/STDLIB_ROADMAP.md", "Markdown", 292, 0, 0, 0, 0, 0, 0, 0, 96, 388
"/Users/prabhugopal/Workspace/github/clorus/docs/STRING_OPERATIONS_PLAN.md", "Markdown", 511, 0, 0, 0, 0, 0, 0, 0, 154, 665
"/Users/prabhugopal/Workspace/github/clorus/docs/THREADING_MACROS_COMPLETE.md", "Markdown", 391, 0, 0, 0, 0, 0, 0, 0, 131, 522
"/Users/prabhugopal/Workspace/github/clorus/docs/TUI_REPL_DESIGN.md", "Markdown", 654, 0, 0, 0, 0, 0, 0, 0, 155, 809
"/Users/prabhugopal/Workspace/github/clorus/docs/WORKSPACE_DEPENDENCY_RESOLUTION.md", "Markdown", 288, 0, 0, 0, 0, 0, 0, 0, 104, 392
"/Users/prabhugopal/Workspace/github/clorus/docs/WORKSPACE_MONOREPO_ANALYSIS.md", "Markdown", 534, 0, 0, 0, 0, 0, 0, 0, 134, 668
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/DESTRUCTURING_COMPLETE.md", "Markdown", 109, 0, 0, 0, 0, 0, 0, 0, 33, 142
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/FFI_FINAL_STATUS.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 60, 231
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/FFI_IMPLEMENTATION_COMPLETE.md", "Markdown", 198, 0, 0, 0, 0, 0, 0, 0, 61, 259
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/SESSION_DESTRUCTURING.md", "Markdown", 195, 0, 0, 0, 0, 0, 0, 0, 74, 269
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/features-progress-jan27.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 21, 100
"/Users/prabhugopal/Workspace/github/clorus/docs/archive/try-catch-status-jan27.md", "Markdown", 129, 0, 0, 0, 0, 0, 0, 0, 39, 168
"/Users/prabhugopal/Workspace/github/clorus/docs/comparisons/CLORUS_VS_JANK.md", "Markdown", 436, 0, 0, 0, 0, 0, 0, 0, 111, 547
